,Load (kWh),Grid supply (kWh),Spot Price (Euro/kWh),Wind (kWh),Solar (kWh),Battery (kWh),Battery2 (kWh),Battery3 (kWh),Battery4 (kWh),Battery5 (kWh),Battery6 (kWh)
2024-01-01 00:00:00,1504.6,2175.1,0.05379,529.5,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 01:00:00,1398.6,665.7000000000002,0.048979999999999996,734.1,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 02:00:00,1496.2,702.4000000000003,0.02745,795.0,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 03:00:00,1602.9,849.3000000000004,0.024480000000000002,754.8,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 04:00:00,1798.9,1115.5000000000005,0.02401,684.6,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 05:00:00,1996.8,4873.799999999999,0.02123,724.2,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 06:00:00,2984.8,2334.700000000001,0.02262,654.9,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 07:00:00,2800.3,2292.1000000000013,0.02504,513.0,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 08:00:00,2904.6,2412.9000000000005,0.02624,496.5,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 09:00:00,2802.4,2195.2000000000007,0.03221,612.0,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 10:00:00,2703.2,2145.500000000001,0.04771,562.5,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 11:00:00,3003.5,2343.500000000001,0.05251,664.8,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 12:00:00,2796.1,2238.4000000000005,0.05657,562.5,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 13:00:00,2703.0,1927.800000000001,0.05982,780.0,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 14:00:00,2847.3,2187.300000000001,0.062060000000000004,664.8,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 15:00:00,2800.3,2140.300000000001,0.06252,664.8,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 16:00:00,2899.6,2053.1898661424184,0.06319,664.8,-0.0,613.5898661424184,800.0,800.0,800.0,800.0,800.0
2024-01-01 17:00:00,2395.2,-0.0,0.06498999999999999,562.5,-0.0,200.0,200.0,200.0,576.2762762762763,800.0,800.0
2024-01-01 18:00:00,2202.0,-0.0,0.06358,628.5,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 19:00:00,2195.3,1617.499999999999,0.0631,579.0,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 20:00:00,1699.8,928.2000000000003,0.06215,772.8,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 21:00:00,1797.7,1347.7000000000003,0.05827,451.2,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 22:00:00,1801.5,1026.3000000000002,0.05258,776.4,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 23:00:00,2004.5,1509.2000000000003,0.04403,496.5,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 00:00:00,117.7,-0.0,0.038,786.0,-0.0,200.0,200.0,200.0,200.0,267.09999999999974,800.0
2024-01-02 01:00:00,116.8,-0.0,0.03356,513.0,-0.0,200.0,200.0,200.0,200.0,661.4328999999998,800.0
